Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.109-117.135.249.242-37656-80-6,192.168.0.109,37656,117.135.249.242,80,6,05/06/2024 09:21:08 下午,44793,3,4,120.0,486.0,120.0,0.0,40.0,69.2820323027551,486.0,0.0,121.5,243.0,13528.899604848972,156.2744178777934,7465.500000000001,11014.455533525022,22036.0,127.0,22630.0,11315.0,15689.285260967117,22409.0,221.0,44601.0,14867.0,12098.915695218311,22036.0,898.0,0,0,0,0,60,112,66.97475051905431,89.29966735873909,0.0,486.0,75.75,171.00187968891703,29241.64285714286,0,1,0,0,0,0,0,0,1.0,86.57142857142857,40.0,121.5,0,0,0,0,0,0,3,120,4,486,-1,83,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-223.109.175.205-37493-443-6,223.109.175.205,443,192.168.0.109,37493,6,05/06/2024 09:20:59 下午,42044,1,2,0.0,68.0,0.0,0.0,0.0,0.0,36.0,32.0,34.0,2.8284271247461903,1617.353248977262,71.35381980782039,21022.0,28503.47434962973,41177.0,867.0,0,0,0,0,0,867.0,867.0,0.0,867.0,867.0,0,1,0,0,20,40,23.784606602606793,47.569213205213586,0.0,36.0,25.0,16.772994167212165,281.3333333333333,0,0,0,1,1,0,0,0,2.0,33.333333333333336,0.0,34.0,0,0,0,0,0,0,1,0,2,68,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-113.240.75.252-37662-443-6,192.168.0.109,37662,113.240.75.252,443,6,05/06/2024 09:21:17 下午,226237,7,11,1603.0,3894.0,681.0,0.0,229.0,279.86782594646354,1432.0,0.0,353.99999999999994,559.2868673587822,24297.52869778153,79.56258260143125,13308.058823529413,17210.920695413817,52711.0,0.0,188124.0,31354.0,36780.1417996179,100944.0,358.0,173526.0,17352.6,15139.86176511089,38023.0,0.0,0,0,0,0,140,252,30.94100434500104,48.621578256430205,0.0,1432.0,289.31578947368416,456.62822862946894,208509.33918128657,0,1,0,0,0,0,0,0,1.0,305.3888888888889,229.0,354.0,0,0,0,0,0,0,7,1603,11,3894,-1,501,4,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-117.135.249.242-37656-80-6,117.135.249.242,80,192.168.0.109,37656,6,05/06/2024 09:21:08 下午,173,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11560.693641618496,173.0,0.0,173.0,173.0,0,0,0,0,0,173.0,173.0,0.0,173.0,173.0,0,0,0,0,0,40,0.0,11560.693641618496,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-39.137.107.213-37503-443-6,192.168.0.109,37503,39.137.107.213,443,6,05/06/2024 09:21:12 下午,3903,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,256.213169356905,512.42633871381,3903.0,0.0,3903.0,3903.0,0,0,0,0,0,3903.0,3903.0,0.0,3903.0,3903.0,0,0,0,0,0,64,0.0,512.42633871381,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,33,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-223.198.146.54-53616-10284-17,223.198.146.54,10284,192.168.0.109,53616,17,05/06/2024 09:20:59 下午,1329562,3,5,203.0,379.0,100.0,39.0,67.66666666666667,30.6648550189518,112.0,39.0,75.8,29.7018517941222,437.73814233559625,6.017019138633626,189937.42857142858,316981.43340888654,770300.0,340.0,771363.0,385681.5,544413.5316508032,770640.0,723.0,1329562.0,332390.5,371638.6372454654,770807.0,472.0,0,0,0,0,24,40,2.25638217698761,3.760636961646016,39.0,112.0,75.77777777777777,27.82434984765043,774.1944444444446,0,0,0,0,0,0,0,0,1.0,85.25,67.66666666666667,75.8,0,0,0,0,0,0,3,203,5,379,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-111.48.57.44-37577-443-6,192.168.0.109,37577,111.48.57.44,443,6,05/06/2024 09:20:59 下午,18073798,18,14,1008.0,5852.0,147.0,0.0,56.0,67.95240548917091,782.0,39.0,418.0,378.31387050356034,379.5549778746006,1.7705188472284574,583025.7419354839,1125348.9830635346,2879096.0,1260.0,1.7948801E7,1055811.8235294116,1360250.4110246224,2879096.0,56188.0,1.8073798E7,1390292.1538461538,1502723.9787117064,2973930.0,27138.0,0,1,0,0,360,280,0.9959168515660073,0.7746019956624501,0.0,782.0,212.33333333333334,304.93079816028205,92982.79166666669,0,0,0,1,1,0,0,0,0.0,218.96875,56.0,418.0,0,0,0,0,0,0,18,1008,14,5852,-1,83,9,0,0,0,0,0,0,0,0,0,No Label
192.168.0.109-20.198.162.76-35287-443-6,192.168.0.109,35287,20.198.162.76,443,6,05/06/2024 09:21:01 下午,151536,1,2,0.0,217.0,0.0,0.0,0.0,0.0,174.0,43.0,108.5,92.63098833543772,1432.0029563932003,19.79727589483687,75768.0,50237.10837617946,111291.0,40245.0,0,0,0,0,0,111291.0,111291.0,0.0,111291.0,111291.0,0,1,0,0,20,40,6.5990919649456234,13.198183929891247,0.0,174.0,65.0,75.4409261166201,5691.333333333333,0,0,0,1,1,0,0,0,2.0,86.66666666666667,0.0,108.5,0,0,0,0,0,0,1,0,2,217,-1,8149,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.110-239.255.255.250-8008-1900-17,192.168.0.110,8008,239.255.255.250,1900,17,05/06/2024 09:21:06 下午,10035085,1,1,101.0,101.0,101.0,101.0,101.0,0.0,101.0,101.0,101.0,0.0,20.12937608400925,0.1993007533070223,1.0035085E7,0.0,1.0035085E7,1.0035085E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.09965037665351115,0.09965037665351115,101.0,101.0,101.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,151.5,101.0,101.0,0,0,0,0,0,0,1,101,1,101,-1,-1,1,0,0,0,0,0,1.0035085E7,0.0,1.0035085E7,1.0035085E7,No Label
192.168.0.110-224.0.0.251-5353-5353-17,192.168.0.110,5353,224.0.0.251,5353,17,05/06/2024 09:21:09 下午,408790,2,1,82.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,41.0,0.0,300.8879864967343,7.338731377969129,204395.0,1443.91204718293,205416.0,203374.0,205416.0,205416.0,0.0,205416.0,205416.0,0,0,0,0,0,0,0,0,0,16,8,4.892487585312752,2.446243792656376,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.666666666666664,41.0,41.0,0,0,0,0,0,0,2,82,1,41,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
